# LHCb B -> K (a ->) mu mu excluded-region boundary, GKOZ re-interpretation
# Extracted from arXiv:2310.03524v3 / LHCb-constraints.pdf (dark-blue solid contour)
# Date: 2026-07-10
# Source y axis is 2 v_h/f_GKOZ (v_h = 246 GeV); converted here to the
# BC10 package convention 1/f_BNT = 2/f_GKOZ, i.e. invf = y_source/246.
# The excluded region lies above each chain; chains are clipped at the
# source frame top (invf = 3.25e-3) and left edge (m_a = 0.3 GeV).
# Gaps along the top edge are the LHCb charmonium veto windows.
# Format: chains separated by blank line; each row is "mass_GeV  invf_GeV_inv"
# mass_GeV  invf_GeV_inv
# chain 0: 89 vertices
2.22177e+00  6.24738e-07
2.22279e+00  6.44156e-07
2.24678e+00  6.44156e-07
2.24780e+00  6.24738e-07
2.35374e+00  6.24738e-07
2.35476e+00  6.05818e-07
2.45176e+00  6.05818e-07
2.45273e+00  5.87556e-07
2.48272e+00  5.87556e-07
2.48374e+00  5.69762e-07
2.48476e+00  5.87556e-07
2.56371e+00  5.87556e-07
2.56473e+00  5.69762e-07
2.57774e+00  5.69762e-07
2.57871e+00  5.52481e-07
2.57972e+00  5.52481e-07
2.58074e+00  5.69762e-07
2.58273e+00  5.69762e-07
2.58374e+00  5.87556e-07
2.63773e+00  5.87556e-07
2.63875e+00  6.05818e-07
2.65771e+00  6.05818e-07
2.65872e+00  6.24738e-07
2.66372e+00  6.24738e-07
2.66473e+00  6.44156e-07
2.72772e+00  6.44156e-07
2.72874e+00  6.64273e-07
2.77470e+00  6.64273e-07
2.77571e+00  6.44156e-07
2.87769e+00  6.44156e-07
2.87871e+00  6.24738e-07
2.89869e+00  6.24738e-07
2.89966e+00  3.25206e-03

# chain 4: 42 vertices
3.19970e+00  3.25206e-03
3.20066e+00  6.44156e-07
3.21364e+00  6.44156e-07
3.21466e+00  6.24738e-07
3.24765e+00  6.24738e-07
3.24866e+00  6.44156e-07
3.25665e+00  6.44156e-07
3.25766e+00  6.64273e-07
3.27866e+00  6.64273e-07
3.27963e+00  6.44156e-07
3.31765e+00  6.44156e-07
3.31862e+00  6.24738e-07
3.33962e+00  6.24738e-07
3.34063e+00  6.44156e-07
3.35162e+00  6.44156e-07
3.35264e+00  6.64273e-07
3.50662e+00  6.64273e-07
3.50763e+00  6.85051e-07
3.52360e+00  6.85051e-07
3.52462e+00  6.64273e-07
3.54063e+00  6.64273e-07
3.54160e+00  6.85051e-07
3.54262e+00  6.85051e-07
3.54363e+00  7.06344e-07
3.54561e+00  7.06344e-07
3.54663e+00  7.28403e-07
3.54963e+00  7.28403e-07
3.55060e+00  7.51043e-07
3.55359e+00  7.51043e-07
3.55461e+00  7.74498e-07
3.55660e+00  7.74498e-07
3.55761e+00  1.56935e-06
3.55863e+00  3.38070e-06
3.55960e+00  6.64248e-06
3.56061e+00  1.02108e-05
3.56162e+00  1.56929e-05
3.56259e+00  2.33914e-05
3.56361e+00  3.59502e-05
3.56463e+00  5.35887e-05
3.56560e+00  8.23605e-05
3.56860e+00  8.23605e-05
3.56956e+00  3.25206e-03

# chain 5: 198 vertices
3.86961e+00  3.25206e-03
3.87058e+00  3.82285e-06
3.87155e+00  3.70690e-06
3.87256e+00  3.59532e-06
3.87357e+00  3.38070e-06
3.87454e+00  3.27879e-06
3.87556e+00  3.17934e-06
3.87658e+00  3.08364e-06
3.87755e+00  2.89956e-06
3.87856e+00  2.81216e-06
3.87958e+00  2.72699e-06
3.88055e+00  2.64479e-06
3.88156e+00  2.48690e-06
3.88257e+00  2.41193e-06
3.88354e+00  2.33889e-06
3.88456e+00  2.26839e-06
3.88558e+00  2.33889e-06
3.88655e+00  2.48690e-06
3.88756e+00  2.64479e-06
3.88857e+00  2.81216e-06
3.88954e+00  2.99012e-06
3.89157e+00  3.38070e-06
3.89254e+00  3.59532e-06
3.89356e+00  3.70690e-06
3.89458e+00  3.82285e-06
3.89555e+00  4.06477e-06
3.89655e+00  4.19191e-06
3.89757e+00  4.32200e-06
3.89854e+00  4.45719e-06
3.89956e+00  4.59551e-06
3.90057e+00  4.88726e-06
3.90154e+00  5.03916e-06
3.90256e+00  4.73925e-06
3.90358e+00  4.59551e-06
3.90455e+00  4.32200e-06
3.90555e+00  4.19191e-06
3.90657e+00  3.94148e-06
3.90754e+00  3.82285e-06
3.90856e+00  3.59532e-06
3.90957e+00  3.38070e-06
3.91054e+00  3.17934e-06
3.91156e+00  2.99012e-06
3.91256e+00  2.72699e-06
3.91354e+00  2.56457e-06
3.91455e+00  2.41193e-06
3.91557e+00  2.56457e-06
3.91654e+00  2.81216e-06
3.91755e+00  2.99012e-06
3.91857e+00  3.27879e-06
3.91954e+00  3.48628e-06
3.92156e+00  3.94148e-06
3.92253e+00  4.06477e-06
3.92457e+00  4.59551e-06
3.92554e+00  4.73925e-06
3.92655e+00  4.59551e-06
3.92757e+00  4.59551e-06
