# SHiP BC4 dark-scalar sensitivity
# PUBLISHED SOURCE (cite this): arXiv:2310.17726 (PBC, Post-LS3 Options in
# ECN3), Fig 9-PhysicsPotential/BC4.pdf, red SHiP curve.
# Traced from the identical, cleaner two-colour rendering in
# arXiv:2504.06692 figs/BC4.pdf (SHiP source figure, commented out of the
# published PDF); verified to overlay the 2310.17726 SHiP contour.
# Date: 2026-07-11
# Source y axis is theta^2 (= sin^2 theta at these mixings).
# Clipped to the figure frame m_S in [0.1, 5.5] GeV.
# Format: chains separated by blank line; each row "mass_GeV  sin2theta"
# chain: 627 vertices
2.852292e-01  1.193487e-10
2.846912e-01  1.246547e-10
2.838778e-01  1.331490e-10
2.835474e-01  1.370895e-10
2.832976e-01  1.396918e-10
2.822322e-01  1.526051e-10
2.819201e-01  1.565983e-10
2.818568e-01  1.574673e-10
2.817560e-01  1.588252e-10
2.805494e-01  1.755383e-10
2.802322e-01  1.808743e-10
2.771262e-01  1.896006e-10
2.745361e-01  1.954194e-10
2.724842e-01  2.001347e-10
2.693677e-01  2.077607e-10
2.670499e-01  2.143649e-10
2.637718e-01  2.243406e-10
2.610110e-01  2.330211e-10
2.597743e-01  2.373264e-10
2.596231e-01  2.379841e-10
2.594203e-01  2.387114e-10
2.557886e-01  2.537144e-10
2.526907e-01  2.673740e-10
2.520106e-01  2.705037e-10
2.512258e-01  2.741951e-10
2.484827e-01  2.895113e-10
2.458002e-01  3.067700e-10
2.451856e-01  3.109781e-10
2.446295e-01  3.149533e-10
2.419503e-01  3.342024e-10
2.391056e-01  3.589826e-10
2.389564e-01  3.606676e-10
2.388710e-01  3.617698e-10
2.383451e-01  3.675401e-10
2.363158e-01  3.918338e-10
2.344501e-01  4.155754e-10
2.337063e-01  4.256931e-10
2.325835e-01  4.409427e-10
2.311238e-01  4.624783e-10
2.301339e-01  4.773489e-10
2.289921e-01  5.070630e-10
2.284727e-01  5.220315e-10
2.276060e-01  5.483053e-10
2.272144e-01  5.602617e-10
2.262414e-01  5.917258e-10
2.254562e-01  6.189105e-10
2.251488e-01  6.298092e-10
2.244402e-01  6.556189e-10
2.237059e-01  6.836505e-10
2.227330e-01  7.234283e-10
2.219748e-01  7.553759e-10
2.204733e-01  8.236257e-10
2.203377e-01  8.309637e-10
2.202589e-01  8.344493e-10
2.200794e-01  8.427804e-10
2.192372e-01  9.364364e-10
2.190804e-01  9.544838e-10
2.188600e-01  9.816149e-10
2.183128e-01  1.053203e-09
2.180442e-01  1.096675e-09
2.175479e-01  1.162133e-09
2.170544e-01  1.238597e-09
2.169408e-01  1.259692e-09
2.164901e-01  1.332609e-09
2.162579e-01  1.375457e-09
2.158859e-01  1.447045e-09
2.155988e-01  1.499307e-09
2.150186e-01  1.625633e-09
2.150544e-01  1.662142e-09
2.150186e-01  1.698870e-09
2.150186e-01  1.867808e-09
2.150544e-01  1.909214e-09
2.150186e-01  1.951400e-09
2.150043e-01  2.146061e-09
2.150043e-01  2.240994e-09
2.149972e-01  2.465765e-09
2.149972e-01  2.574108e-09
2.149900e-01  2.832291e-09
2.149900e-01  3.323535e-09
2.149775e-01  3.394325e-09
2.149775e-01  3.739016e-09
2.149828e-01  3.817568e-09
2.149775e-01  3.898876e-09
2.149775e-01  4.295116e-09
2.149828e-01  4.386282e-09
2.149703e-01  4.478432e-09
2.149703e-01  4.933566e-09
2.149828e-01  5.038649e-09
2.149703e-01  5.144505e-09
2.149560e-01  5.670141e-09
2.149560e-01  5.907537e-09
2.149489e-01  6.512990e-09
2.149560e-01  6.647934e-09
2.149489e-01  6.785674e-09
2.149489e-01  7.483248e-09
2.149560e-01  7.636128e-09
2.149489e-01  7.792132e-09
2.140782e-01  8.298339e-09
2.121108e-01  8.374647e-09
2.120279e-01  8.771215e-09
2.119327e-01  9.225096e-09
2.118710e-01  9.563702e-09
2.117741e-01  1.007503e-08
2.116773e-01  1.066124e-08
2.116368e-01  1.092778e-08
2.115470e-01  1.157264e-08
2.114239e-01  1.232096e-08
2.114028e-01  1.248287e-08
2.112991e-01  1.329287e-08
2.111761e-01  1.423500e-08
2.111761e-01  1.425927e-08
2.110461e-01  1.526991e-08
2.109286e-01  1.628846e-08
2.109233e-01  1.645108e-08
2.108198e-01  1.754471e-08
2.107041e-01  1.860641e-08
2.106621e-01  1.901754e-08
2.105728e-01  2.015265e-08
2.104712e-01  2.125423e-08
2.104099e-01  2.197349e-08
2.103207e-01  2.314828e-08
2.102385e-01  2.428573e-08
2.101563e-01  2.539427e-08
2.100951e-01  2.658920e-08
2.097198e-01  2.754952e-08
2.082388e-01  2.781864e-08
2.056313e-01  2.832461e-08
2.052435e-01  2.840307e-08
2.025672e-01  2.892788e-08
2.008643e-01  2.927270e-08
1.980969e-01  2.973118e-08
1.970435e-01  2.988769e-08
1.963335e-01  2.998753e-08
1.927063e-01  3.054161e-08
1.916704e-01  3.070238e-08
1.914267e-01  3.073727e-08
1.874515e-01  3.137412e-08
1.864485e-01  3.153931e-08
1.849703e-01  3.178646e-08
1.831653e-01  3.209467e-08
1.813644e-01  3.239903e-08
1.794542e-01  3.273408e-08
1.789712e-01  3.281549e-08
1.787317e-01  3.286912e-08
1.764188e-01  3.328218e-08
1.748717e-01  3.356918e-08
1.727093e-01  3.398140e-08
1.716139e-01  3.418940e-08
1.708789e-01  3.434014e-08
1.671287e-01  3.508152e-08
1.669661e-01  3.511139e-08
1.669328e-01  3.513132e-08
1.668842e-01  3.513132e-08
1.631484e-01  3.591781e-08
1.623808e-01  3.607871e-08
1.612556e-01  3.632790e-08
